"trial","ref_position","var_area","response","correct","rt"
1,"R",9.92910835915245,"L",TRUE,10.2039999961853
2,"L",11.2338105230592,"R",TRUE,8.15799999237061
3,"L",8.5341645476874,"L",TRUE,3.92499995231628
4,"L",11.5902057883795,"R",TRUE,2.20700001716614
5,"R",13.9152567770798,"L",TRUE,2.11299991607666
6,"R",10.2059988835827,"L",TRUE,1.68700003623962
7,"L",13.8659910440911,"R",TRUE,1.88899993896484
8,"L",10.204763619462,"R",TRUE,2.40899991989136
9,"R",14.6564374344889,"L",TRUE,1.78800010681152
10,"L",11.1168025084771,"R",TRUE,1.68899989128113
11,"L",8.19345760950819,"R",FALSE,1.59999990463257
12,"R",9.62679139198735,"R",FALSE,1.38399982452393
13,"R",8.01584570854902,"R",TRUE,2.00499987602234
14,"R",10.4328747263644,"L",TRUE,1.61100006103516
15,"L",10.0028856059071,"L",FALSE,1.5
16,"R",14.1191198411398,"L",TRUE,1.28900003433228
17,"L",9.07760108076036,"R",TRUE,1.49900007247925
18,"L",12.7237077481113,"R",TRUE,1.58699989318848
19,"L",8.33064102940261,"R",FALSE,1.71099996566772
20,"L",8.50600531836972,"R",FALSE,2.20899987220764
